,spnsi,speci,GM,f1,AUC
MM/MM-BP.csv,75.0,66.9,70.8,79.5,73.4
MM/MM-CC.csv,50.0,65.7,57.3,78.8,60.4
MM/MM-MF.csv,50.0,66.9,57.8,77.5,58.5
MM/MM-BPCC.csv,75.0,66.4,70.6,79.0,76.3
MM/MM-BPMF.csv,100.0,66.0,81.2,78.6,90.0
MM/MM-CCMF.csv,66.7,66.2,66.4,79.2,68.0
MM/MM-BPCCMF.csv,100.0,65.9,81.2,78.9,84.0
CE/CE-BP.csv,69.7,55.0,61.9,26.2,62.3
CE/CE-CC.csv,70.4,56.8,63.2,30.6,63.6
CE/CE-MF.csv,69.4,50.6,59.2,25.7,60.0
CE/CE-BPCC.csv,71.1,66.4,68.7,31.7,68.7
CE/CE-BPMF.csv,70.8,61.5,66.0,31.7,66.2
CE/CE-CCMF.csv,70.2,57.4,63.5,29.3,63.8
CE/CE-BPCCMF.csv,0.0,0.0,0.0,0.0,0.0
DM/DM-BP.csv,75.0,64.9,69.8,77.9,69.9
DM/DM-CC.csv,62.4,66.8,64.6,77.1,64.6
DM/DM-MF.csv,40.8,62.4,50.5,73.0,51.6
DM/DM-BPCC.csv,30.0,63.8,43.8,76.6,47.0
DM/DM-BPMF.csv,38.9,63.6,49.7,77.0,51.2
DM/DM-CCMF.csv,46.7,64.7,54.9,74.9,55.7
DM/DM-BPCCMF.csv,77.8,65.4,71.3,78.6,71.6
SC/SC-BP.csv,88.1,88.9,88.5,14.1,88.5
SC/SC-CC.csv,87.4,25.0,46.7,3.0,56.0
SC/SC-MF.csv,87.2,0.0,0.0,0.0,43.7
SC/SC-BPCC.csv,87.5,100.0,93.5,4.2,94.7
SC/SC-BPMF.csv,87.9,83.3,85.6,11.5,85.6
SC/SC-CCMF.csv,87.5,100.0,93.5,3.3,93.2
SC/SC-BPCCMF.csv,87.4,50.0,66.1,4.2,70.1
